ZIP code,State,City,Average annual cost,Percent difference from national average
01001,Massachusetts,Agawam,1032,-46
01002,Massachusetts,Amherst Center,972,-49
01003,Massachusetts,Amherst Center,978,-48
01005,Massachusetts,Barre,1133,-40
01007,Massachusetts,Belchertown,1034,-46
01008,Massachusetts,Blandford,1016,-46
01009,Massachusetts,Bondsville,1034,-46
01010,Massachusetts,Brimfield,1058,-44
01011,Massachusetts,Chester,990,-48
01012,Massachusetts,Chesterfield,990,-48
01013,Massachusetts,Chicopee,1169,-38
01020,Massachusetts,Chicopee,1177,-38
01022,Massachusetts,Chicopee,1130,-40
01026,Massachusetts,Cummington,964,-49
01027,Massachusetts,Easthampton Town,992,-48
01028,Massachusetts,East Longmeadow,1044,-45
01029,Massachusetts,East Otis,1007,-47
01030,Massachusetts,Feeding Hills,1029,-46
01031,Massachusetts,Gilbertville,1136,-40
01032,Massachusetts,Goshen,979,-48
01033,Massachusetts,Granby,1018,-46
01034,Massachusetts,Granville,1008,-47
01035,Massachusetts,Hadley,985,-48
01036,Massachusetts,Hampden,1046,-45
01037,Massachusetts,0,1125,-41
01038,Massachusetts,Hatfield,969,-49
01039,Massachusetts,Haydenville,974,-49
01040,Massachusetts,Holyoke,1150,-39
01050,Massachusetts,Huntington,984,-48
01053,Massachusetts,Leeds,965,-49
01054,Massachusetts,Leverett,1009,-47
01056,Massachusetts,Ludlow,1098,-42
01057,Massachusetts,Monson,1037,-45
01060,Massachusetts,Northampton,971,-49
01062,Massachusetts,Florence,974,-49
01063,Massachusetts,Northampton,970,-49
01066,Massachusetts,North Hatfield,963,-49
01068,Massachusetts,Oakham,1163,-39
01069,Massachusetts,Palmer,1053,-45
01070,Massachusetts,Plainfield,984,-48
01071,Massachusetts,Russell,1003,-47
01072,Massachusetts,Shutesbury,1017,-46
01073,Massachusetts,Southampton,1000,-47
01074,Massachusetts,South Barre,1117,-41
01075,Massachusetts,South Hadley,1027,-46
01077,Massachusetts,Southwick,1016,-46
01079,Massachusetts,Thorndike,1036,-45
01080,Massachusetts,Three Rivers,1092,-42
01081,Massachusetts,Wales,1077,-43
01082,Massachusetts,Ware,1029,-46
01083,Massachusetts,Warren,1168,-38
01084,Massachusetts,West Chesterfield,981,-48
01085,Massachusetts,Westfield,994,-48
01088,Massachusetts,West Hatfield,960,-49
01089,Massachusetts,West Springfield Town,1023,-46
01092,Massachusetts,West Warren,1165,-39
01093,Massachusetts,Whately,971,-49
01094,Massachusetts,Wheelwright,1118,-41
01095,Massachusetts,Wilbraham,1098,-42
01096,Massachusetts,Williamsburg,975,-49
01097,Massachusetts,Woronoco,1012,-47
01098,Massachusetts,Worthington,983,-48
01103,Massachusetts,Springfield,1346,-29
01104,Massachusetts,Springfield,1366,-28
01105,Massachusetts,Springfield,1370,-28
01106,Massachusetts,Longmeadow,1021,-46
01107,Massachusetts,Springfield,1360,-28
01108,Massachusetts,Springfield,1354,-29
01109,Massachusetts,Springfield,1358,-28
